Unnamed: 0,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
15,5.8,4.0,1.2,0.2,setosa
105,6.5,3.0,5.8,2.2,virginica
96,5.7,3.0,4.2,1.2,versicolor
141,6.7,3.1,5.6,2.4,virginica
104,6.3,2.9,5.6,1.8,virginica
88,6.3,2.3,4.4,1.3,versicolor
27,5.0,3.4,1.6,0.4,setosa
80,5.7,2.6,3.5,1.0,versicolor
82,5.5,2.4,3.7,1.0,versicolor
120,6.0,2.2,5.0,1.5,virginica
30,4.7,3.2,1.6,0.2,setosa
52,6.4,3.2,4.5,1.5,versicolor
113,6.8,3.0,5.5,2.1,virginica
7,4.6,3.4,1.4,0.3,setosa
93,5.8,2.6,4.0,1.2,versicolor
50,5.0,3.3,1.4,0.2,setosa
5,5.0,3.6,1.4,0.2,setosa
6,5.4,3.9,1.7,0.4,setosa
103,7.1,3.0,5.9,2.1,virginica
9,4.4,2.9,1.4,0.2,setosa
99,5.1,2.5,3.0,1.1,versicolor
75,6.4,2.9,4.3,1.3,versicolor
83,5.8,2.7,3.9,1.2,versicolor
34,5.5,4.2,1.4,0.2,setosa
48,4.6,3.2,1.4,0.2,setosa
8,5.0,3.4,1.5,0.2,setosa
67,5.6,3.0,4.5,1.5,versicolor
74,6.1,2.8,4.7,1.2,versicolor
13,4.8,3.0,1.4,0.1,setosa
25,4.8,3.4,1.9,0.2,setosa
112,6.4,2.7,5.3,1.9,virginica
43,4.4,3.2,1.3,0.2,setosa
123,7.7,2.8,6.7,2.0,virginica
115,5.8,2.8,5.1,2.4,virginica
40,5.1,3.4,1.5,0.2,setosa
143,5.8,2.7,5.1,1.9,virginica
145,6.7,3.3,5.7,2.5,virginica
41,5.0,3.5,1.3,0.3,setosa
62,5.9,3.0,4.2,1.5,versicolor
106,7.6,3.0,6.6,2.1,virginica
84,6.0,2.7,5.1,1.6,versicolor
71,5.9,3.2,4.8,1.8,versicolor
133,6.4,2.8,5.6,2.2,virginica
138,6.4,3.1,5.5,1.8,virginica
45,5.1,3.8,1.9,0.4,setosa
3,4.7,3.2,1.3,0.2,setosa
136,7.7,3.0,6.1,2.3,virginica
16,5.7,4.4,1.5,0.4,setosa
130,7.2,3.0,5.8,1.6,virginica
135,6.1,2.6,5.6,1.4,virginica
119,7.7,2.6,6.9,2.3,virginica
109,6.7,2.5,5.8,1.8,virginica
4,4.6,3.1,1.5,0.2,setosa
128,6.1,3.0,4.9,1.8,virginica
64,6.1,2.9,4.7,1.4,versicolor
32,5.4,3.4,1.5,0.4,setosa
31,4.8,3.1,1.6,0.2,setosa
11,5.4,3.7,1.5,0.2,setosa
85,5.4,3.0,4.5,1.5,versicolor
39,4.4,3.0,1.3,0.2,setosa
149,6.2,3.4,5.4,2.3,virginica
73,6.3,2.5,4.9,1.5,versicolor
37,5.5,3.5,1.3,0.2,setosa
122,5.6,2.8,4.9,2.0,virginica
