,user_id,treatment,if_on,live_date,gender,age_range,live_stream_duration,live_stream_cnt,total_watching_duration,receive_amount,like_cnt,comment_cnt,share_cnt,voice_comment_cnt
2701101,738590855,1,1,2018-12-19,M,41-49,1857,5,222,0.0,22,2,0,0
1952276,32312663,1,1,2018-12-10,M,24-30,2252,1,1523,0.0,5,49,0,0
3023435,937891511,1,1,2018-12-08,M,24-30,2186,3,1740,0.0,65,12,0,0
2597829,387769033,1,1,2018-12-18,F,24-30,592,1,2531,0.0,44,6,0,0
1178737,228291084,1,1,2018-12-01,M,18-23,203,1,7,0.0,0,0,0,0
2652281,551626454,1,1,2018-12-17,F,24-30,3579,7,698,1.0,44,13,1,16
2252963,129612486,1,1,2018-12-15,M,18-23,52,1,0,0.0,0,0,0,0
3011663,863343557,1,1,2018-12-05,M,31-40,218,1,0,0.0,0,0,0,0
1910785,857666547,1,1,2018-12-09,M,24-30,8169,3,2124,1.0,43,15,0,29
2924359,527900085,1,1,2018-12-15,F,41-49,1505,1,2623,5.0,576,19,0,0
3339768,67779444,1,1,2018-12-12,M,50+,267,1,784,30.0,21,13,0,0
2742181,900754844,1,1,2018-12-16,F,18-23,3270,3,3544,10.0,83,44,0,0
3011190,860382443,1,1,2018-12-14,F,24-30,418,4,0,0.0,0,0,0,0
2198063,967481820,1,1,2018-12-17,F,18-23,1780,2,6867,4.0,620,35,1,0
47033,149431022,1,1,2018-12-01,F,18-23,4647,5,18701,73.0,375,132,0,0
1628076,830014987,1,1,2018-12-14,M,18-23,908,2,31,0.0,0,0,0,0
3164187,425220574,1,1,2018-12-07,M,31-40,2484,1,29638,788.0,1570,82,0,35
514906,818071918,1,1,2018-12-12,M,24-30,5164,2,4195,134.0,396,64,0,0
3277949,808346148,1,1,2018-12-12,F,41-49,17598,4,139151,978.0,1999,242,15,167
714645,535098685,1,1,2018-12-14,M,18-23,492,2,89,0.0,0,1,0,0
151930,507955747,1,1,2018-12-03,M,31-40,538,2,428,0.0,1,7,0,0
3438310,415885618,1,1,2018-12-03,F,31-40,1205,6,181,0.0,10,0,0,0
1525067,465711229,1,1,2018-12-19,M,24-30,5903,8,10107,64.0,935,66,2,0
2339290,435496506,1,1,2018-12-11,F,18-23,29,1,1,0.0,0,0,0,0
1148780,125110214,1,1,2018-12-18,M,41-49,11968,4,68832,958.0,4893,102,11,15
2467057,918906485,1,1,2018-12-12,F,31-40,9056,2,32694,842.0,152,326,3,0
2138248,692799672,1,1,2018-12-04,M,31-40,25567,4,27223,0.0,245,22,2,0
1054362,760103949,1,1,2018-12-09,F,24-30,2179,4,9103,78.0,272,11,1,3
2440797,788262959,1,1,2018-12-19,M,24-30,14280,8,1613,0.0,2,12,2,0
3400341,279910870,1,1,2018-12-10,M,24-30,4230,2,9635,36.0,234,108,1,0
1422812,119596499,1,1,2018-12-01,M,18-23,2591,4,1976,0.0,14,19,0,0
1372934,994855233,1,1,2018-12-02,F,31-40,1075,1,556,0.0,0,4,0,0
1003930,580159028,1,1,2018-12-11,M,18-23,181,1,471,0.0,62,3,0,0
758286,701172866,1,1,2018-12-02,M,31-40,10306,3,44038,91.0,1895,170,3,6
